"subject","item","response","response_time","ambiguity","group","gap_filling","ambiguity_G","group_G","gap_filling_G"
"Native 5",7,1,"1205",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 5",18,1,"1557",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 5",1,1,"2002",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 5",13,1,"1360",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 5",4,1,"1000",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 5",10,1,"1114",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 6",11,0,"1433",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 6",6,1,"1203",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 6",5,1,"1390",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 6",9,1,"1199",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 6",18,0,"1278",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 6",3,0,"1201",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 6",12,0,"993",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 6",17,1,"946",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 6",15,0,"1182",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 6",14,1,"1006",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 6",2,0,"1161",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 6",8,1,"1223",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 7",4,1,"2590",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 7",16,1,"1536",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 7",13,0,"3389",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 7",8,1,"1240",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 7",7,1,"1638",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 7",17,0,"3839",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 7",11,0,"1554",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 7",2,1,"1308",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 7",1,1,"3618",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 7",14,0,"3862",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 7",10,1,"1411",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 7",5,1,"1115",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 8",13,1,"3778",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 8",18,0,"1573",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 8",16,0,"2012",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 8",1,1,"3506",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 8",6,0,"2566",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 8",7,1,"2240",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 8",4,0,"3006",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 8",12,1,"3070",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 8",15,0,"4807",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
