"controller","condition","item","response","response_time","subject","group_G","reading_time","ambiguity_G","filled_gap_G"
"PictureAccept","exp2-3",29,1,"1321","Native 2","Native",1321,"Control","Non-Filled-Gap"
"PictureAccept","exp2-3",35,1,"2655","Native 2","Native",2655,"Control","Non-Filled-Gap"
"PictureAccept","exp2-3",41,1,"1780","Native 2","Native",1780,"Control","Non-Filled-Gap"
"PictureAccept","exp3-1",46,1,"3703","Native 2","Native",3703,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-2",40,1,"2808","Native 2","Native",2808,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",26,1,"1745","Native 2","Native",1745,"Control","Non-Filled-Gap"
"PictureAccept","exp3-2",45,1,"928","Native 2","Native",928,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-2",50,1,"1970","Native 3","Native",1970,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-1",45,1,"3219","Native 3","Native",3219,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-3",40,1,"2533","Native 3","Native",2533,"Control","Non-Filled-Gap"
"PictureAccept","exp2-2",27,1,"1881","Native 3","Native",1881,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp3-1",51,0,"2915","Native 3","Native",2915,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-1",29,1,"1501","Native 3","Native",1501,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",31,1,"2910","Native 3","Native",2910,"Control","Non-Filled-Gap"
"PictureAccept","exp2-1",35,1,"2324","Native 3","Native",2324,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",25,1,"2614","Native 3","Native",2614,"Control","Non-Filled-Gap"
"PictureAccept","exp3-2",54,1,"1652","Native 3","Native",1652,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-2",42,1,"3751","Native 3","Native",3751,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",34,1,"1889","Native 3","Native",1889,"Control","Non-Filled-Gap"
"PictureAccept","exp2-1",32,1,"1994","Native 3","Native",1994,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",37,1,"1772","Native 3","Native",1772,"Control","Non-Filled-Gap"
"PictureAccept","exp3-2",44,1,"2112","Native 3","Native",2112,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-2",36,1,"2430","Native 3","Native",2430,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp3-1",43,1,"2168","Native 3","Native",2168,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-2",46,1,"1491","Native 3","Native",1491,"Unambiguous","Filled-Gap"
"PictureAccept","exp2-1",38,1,"2168","Native 3","Native",2168,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp3-2",48,1,"2093","Native 3","Native",2093,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-1",53,1,"1350","Native 3","Native",1350,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-1",41,1,"1839","Native 3","Native",1839,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp3-2",52,1,"1766","Native 3","Native",1766,"Unambiguous","Filled-Gap"
"PictureAccept","exp3-1",49,1,"1970","Native 3","Native",1970,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-2",30,1,"2399","Native 3","Native",2399,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",33,1,"1440","Native 3","Native",1440,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",28,1,"1565","Native 3","Native",1565,"Control","Non-Filled-Gap"
"PictureAccept","exp2-2",39,0,"6644","Native 3","Native",6644,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp3-1",47,1,"1440","Native 3","Native",1440,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-1",26,1,"1723","Native 3","Native",1723,"Ambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",38,0,"791","Native 4","Native",791,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",30,0,"958","Native 4","Native",958,"Control","Non-Filled-Gap"
"PictureAccept","exp3-1",54,0,"1137","Native 4","Native",1137,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-1",52,1,"718","Native 4","Native",718,"Ambiguous","Filled-Gap"
"PictureAccept","exp3-1",44,0,"1475","Native 4","Native",1475,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-2",41,0,"1430","Native 4","Native",1430,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",35,0,"958","Native 4","Native",958,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-3",39,1,"2282","Native 4","Native",2282,"Control","Non-Filled-Gap"
"PictureAccept","exp3-1",46,1,"1347","Native 4","Native",1347,"Ambiguous","Filled-Gap"
"PictureAccept","exp2-2",26,1,"843","Native 4","Native",843,"Unambiguous","Non-Filled-Gap"
"PictureAccept","exp2-2",32,0,"964","Native 4","Native",964,"Unambiguous","Non-Filled-Gap"
