"subject","item","region","measure","condition","rawdata","group_G"
"Native 6",40,2,"fp",1,186,"Native"
"Native 6",45,2,"fp",2,412,"Native"
"Native 6",35,2,"fp",4,264,"Native"
"Native 6",36,2,"fp",1,186,"Native"
"Native 6",39,2,"fp",4,387,"Native"
"Native 6",25,2,"fp",2,392,"Native"
"Native 6",46,2,"fp",3,394,"Native"
"Native 6",26,2,"fp",3,702,"Native"
"Native 6",34,2,"fp",3,608,"Native"
"Native 6",41,2,"fp",2,176,"Native"
"Native 6",30,2,"fp",3,177,"Native"
"Native 6",33,2,"fp",2,796,"Native"
"Native 6",42,2,"fp",3,348,"Native"
"Native 6",29,2,"fp",2,191,"Native"
"Native 6",47,2,"fp",4,240,"Native"
"Native 6",27,2,"fp",4,180,"Native"
"Native 6",28,2,"fp",1,377,"Native"
"Native 6",48,2,"fp",1,324,"Native"
"Native 6",37,2,"fp",2,193,"Native"
"Native 6",38,2,"fp",3,416,"Native"
"Native 6",44,2,"fp",1,335,"Native"
"Native 6",31,2,"fp",4,291,"Native"
"Native 6",32,2,"fp",1,1476,"Native"
"Native 6",43,2,"fp",4,180,"Native"
"Native 7",42,2,"fp",4,135,"Native"
"Native 7",40,2,"fp",2,0,"Native"
"Native 7",27,2,"fp",1,227,"Native"
"Native 7",46,2,"fp",4,209,"Native"
"Native 7",41,2,"fp",3,0,"Native"
"Native 7",48,2,"fp",2,280,"Native"
"Native 7",26,2,"fp",4,370,"Native"
"Native 7",38,2,"fp",4,156,"Native"
"Native 7",37,2,"fp",3,0,"Native"
"Native 7",47,2,"fp",1,0,"Native"
"Native 7",35,2,"fp",1,486,"Native"
"Native 7",39,2,"fp",1,132,"Native"
"Native 7",25,2,"fp",3,143,"Native"
"Native 7",34,2,"fp",4,0,"Native"
"Native 7",33,2,"fp",3,239,"Native"
"Native 7",45,2,"fp",3,144,"Native"
"Native 7",36,2,"fp",2,336,"Native"
"Native 7",43,2,"fp",1,153,"Native"
"Native 7",31,2,"fp",1,201,"Native"
"Native 7",28,2,"fp",2,150,"Native"
"Native 7",29,2,"fp",3,134,"Native"
"Native 7",30,2,"fp",4,252,"Native"
"Native 7",44,2,"fp",2,0,"Native"
"Native 7",32,2,"fp",2,163,"Native"
"Native 8",43,2,"fp",2,613,"Native"
