"subject","item","region","measure","condition","rawdata","group_G"
"Native 36",25,6,"rp",1,0,"Native"
"Native 36",41,6,"rp",1,0,"Native"
"Native 36",26,6,"rp",2,579,"Native"
"Native 36",30,6,"rp",2,0,"Native"
"Native 36",43,6,"rp",3,0,"Native"
"Native 36",32,6,"rp",4,529,"Native"
"Native 36",31,6,"rp",3,168,"Native"
"Native 36",47,6,"rp",3,0,"Native"
"Native 36",44,6,"rp",4,0,"Native"
"Native 36",27,6,"rp",3,0,"Native"
"Native 36",46,6,"rp",2,197,"Native"
"Native 36",37,6,"rp",1,213,"Native"
"Native 36",38,6,"rp",2,0,"Native"
"Native 36",40,6,"rp",4,0,"Native"
"Native 37",29,6,"rp",2,332,"Native"
"Native 37",30,6,"rp",3,1641,"Native"
"Native 37",38,6,"rp",3,170,"Native"
"Native 37",40,6,"rp",1,612,"Native"
"Native 37",44,6,"rp",1,233,"Native"
"Native 37",47,6,"rp",4,407,"Native"
"Native 37",48,6,"rp",1,352,"Native"
"Native 37",26,6,"rp",3,633,"Native"
"Native 37",42,6,"rp",3,0,"Native"
"Native 37",31,6,"rp",4,624,"Native"
"Native 37",35,6,"rp",4,1021,"Native"
"Native 37",32,6,"rp",1,512,"Native"
"Native 37",39,6,"rp",4,320,"Native"
"Native 37",41,6,"rp",2,0,"Native"
"Native 37",43,6,"rp",4,0,"Native"
"Native 37",27,6,"rp",4,702,"Native"
"Native 37",34,6,"rp",3,261,"Native"
"Native 37",25,6,"rp",2,196,"Native"
"Native 37",28,6,"rp",1,169,"Native"
"Native 37",46,6,"rp",3,471,"Native"
"Native 37",37,6,"rp",2,203,"Native"
"Native 37",36,6,"rp",1,628,"Native"
"Native 37",45,6,"rp",2,165,"Native"
"Native 37",33,6,"rp",2,249,"Native"
"Native 38",39,6,"rp",1,396,"Native"
"Native 38",41,6,"rp",3,452,"Native"
"Native 38",36,6,"rp",2,440,"Native"
"Native 38",40,6,"rp",2,134,"Native"
"Native 38",29,6,"rp",3,406,"Native"
"Native 38",45,6,"rp",3,148,"Native"
"Native 38",42,6,"rp",4,159,"Native"
"Native 38",26,6,"rp",4,563,"Native"
"Native 38",30,6,"rp",4,148,"Native"
"Native 38",35,6,"rp",1,346,"Native"
"Native 38",46,6,"rp",4,135,"Native"
"Native 38",33,6,"rp",3,169,"Native"
"Native 38",27,6,"rp",1,318,"Native"
"Native 38",44,6,"rp",2,151,"Native"
"Native 38",25,6,"rp",3,140,"Native"
"Native 38",32,6,"rp",2,1458,"Native"
"Native 38",47,6,"rp",1,147,"Native"
"Native 38",31,6,"rp",1,148,"Native"
"Native 38",34,6,"rp",4,334,"Native"
"Native 38",38,6,"rp",4,396,"Native"
"Native 38",48,6,"rp",2,296,"Native"
"Native 38",43,6,"rp",1,0,"Native"
"Native 38",37,6,"rp",3,149,"Native"
"Native 38",28,6,"rp",2,160,"Native"
"Native 39",28,6,"rp",3,180,"Native"
"Native 39",29,6,"rp",4,344,"Native"
"Native 39",33,6,"rp",4,355,"Native"
"Native 39",25,6,"rp",4,160,"Native"
"Native 39",32,6,"rp",3,363,"Native"
"Native 39",40,6,"rp",3,234,"Native"
"Native 39",46,6,"rp",1,257,"Native"
"Native 39",31,6,"rp",2,186,"Native"
"Native 39",43,6,"rp",2,0,"Native"
"Native 39",27,6,"rp",2,303,"Native"
"Native 39",37,6,"rp",4,217,"Native"
"Native 39",48,6,"rp",3,307,"Native"
"Native 39",47,6,"rp",2,268,"Native"
"Native 39",41,6,"rp",4,414,"Native"
"Native 39",38,6,"rp",1,411,"Native"
"Native 39",26,6,"rp",1,666,"Native"
"Native 39",45,6,"rp",4,586,"Native"
"Native 39",39,6,"rp",2,330,"Native"
"Native 39",42,6,"rp",1,332,"Native"
"Native 39",36,6,"rp",3,922,"Native"
"Native 39",34,6,"rp",1,3362,"Native"
"Native 39",30,6,"rp",1,176,"Native"
"Native 39",35,6,"rp",2,1737,"Native"
"Native 39",44,6,"rp",3,272,"Native"
"Native 40",39,6,"rp",3,299,"Native"
"Native 40",46,6,"rp",2,407,"Native"
"Native 40",34,6,"rp",2,395,"Native"
"Native 40",33,6,"rp",1,435,"Native"
"Native 40",27,6,"rp",3,293,"Native"
"Native 40",31,6,"rp",3,381,"Native"
"Native 40",48,6,"rp",4,239,"Native"
"Native 40",28,6,"rp",4,503,"Native"
"Native 40",38,6,"rp",2,385,"Native"
"Native 40",44,6,"rp",4,0,"Native"
"Native 40",45,6,"rp",1,407,"Native"
"Native 40",29,6,"rp",1,327,"Native"
"Native 40",26,6,"rp",2,605,"Native"
"Native 40",35,6,"rp",3,184,"Native"
"Native 40",47,6,"rp",3,278,"Native"
"Native 40",41,6,"rp",1,605,"Native"
"Native 40",36,6,"rp",4,874,"Native"
"Native 40",25,6,"rp",1,307,"Native"
"Native 40",37,6,"rp",1,124,"Native"
"Native 40",32,6,"rp",4,576,"Native"
"Native 40",42,6,"rp",2,211,"Native"
"Native 40",30,6,"rp",2,658,"Native"
"Native 40",43,6,"rp",3,985,"Native"
"Native 40",40,6,"rp",4,490,"Native"
"Native 1",45,2,"tt",1,891,"Native"
"Native 1",29,2,"tt",1,392,"Native"
"Native 1",34,2,"tt",2,689,"Native"
"Native 1",36,2,"tt",4,570,"Native"
"Native 1",25,2,"tt",1,448,"Native"
"Native 1",42,2,"tt",2,181,"Native"
"Native 1",41,2,"tt",1,526,"Native"
"Native 1",46,2,"tt",2,388,"Native"
"Native 1",47,2,"tt",3,1189,"Native"
"Native 1",39,2,"tt",3,1138,"Native"
"Native 1",35,2,"tt",3,992,"Native"
"Native 1",48,2,"tt",4,583,"Native"
"Native 1",27,2,"tt",3,872,"Native"
"Native 1",31,2,"tt",3,780,"Native"
"Native 1",40,2,"tt",4,276,"Native"
"Native 1",38,2,"tt",2,617,"Native"
"Native 1",30,2,"tt",2,763,"Native"
"Native 1",32,2,"tt",4,515,"Native"
"Native 1",44,2,"tt",4,446,"Native"
"Native 1",37,2,"tt",1,890,"Native"
"Native 1",28,2,"tt",4,551,"Native"
"Native 1",26,2,"tt",2,881,"Native"
"Native 1",33,2,"tt",1,704,"Native"
"Native 1",43,2,"tt",3,943,"Native"
"Native 2",45,2,"tt",2,1343,"Native"
"Native 2",39,2,"tt",4,848,"Native"
"Native 2",48,2,"tt",1,1705,"Native"
"Native 2",32,2,"tt",1,946,"Native"
"Native 2",26,2,"tt",3,1152,"Native"
"Native 2",42,2,"tt",3,2068,"Native"
"Native 2",37,2,"tt",2,413,"Native"
"Native 2",31,2,"tt",4,522,"Native"
"Native 2",25,2,"tt",2,890,"Native"
"Native 2",38,2,"tt",3,924,"Native"
"Native 2",35,2,"tt",4,2036,"Native"
"Native 2",41,2,"tt",2,296,"Native"
"Native 2",34,2,"tt",3,670,"Native"
"Native 2",43,2,"tt",4,1116,"Native"
"Native 2",33,2,"tt",2,334,"Native"
"Native 2",40,2,"tt",1,250,"Native"
"Native 2",30,2,"tt",3,415,"Native"
"Native 2",27,2,"tt",4,624,"Native"
"Native 2",36,2,"tt",1,937,"Native"
"Native 2",28,2,"tt",1,1417,"Native"
"Native 2",44,2,"tt",1,684,"Native"
"Native 2",29,2,"tt",2,710,"Native"
"Native 2",47,2,"tt",4,258,"Native"
"Native 2",46,2,"tt",3,850,"Native"
"Native 3",46,2,"tt",4,608,"Native"
"Native 3",43,2,"tt",1,904,"Native"
"Native 3",39,2,"tt",1,511,"Native"
"Native 3",33,2,"tt",3,1890,"Native"
"Native 3",31,2,"tt",1,547,"Native"
"Native 3",29,2,"tt",3,1137,"Native"
"Native 3",44,2,"tt",2,420,"Native"
"Native 3",27,2,"tt",1,315,"Native"
"Native 3",45,2,"tt",3,874,"Native"
"Native 3",37,2,"tt",3,1166,"Native"
"Native 3",36,2,"tt",2,396,"Native"
"Native 3",32,2,"tt",2,1145,"Native"
"Native 3",25,2,"tt",3,544,"Native"
"Native 3",26,2,"tt",4,1045,"Native"
"Native 3",30,2,"tt",4,427,"Native"
"Native 3",28,2,"tt",2,1033,"Native"
"Native 3",47,2,"tt",1,552,"Native"
"Native 3",48,2,"tt",2,256,"Native"
"Native 3",34,2,"tt",4,444,"Native"
"Native 3",38,2,"tt",4,325,"Native"
"Native 3",42,2,"tt",4,250,"Native"
"Native 3",35,2,"tt",1,430,"Native"
"Native 3",40,2,"tt",2,260,"Native"
"Native 3",41,2,"tt",3,0,"Native"
"Native 4",39,2,"tt",2,1240,"Native"
"Native 4",27,2,"tt",2,442,"Native"
"Native 4",40,2,"tt",3,1364,"Native"
"Native 4",38,2,"tt",1,872,"Native"
"Native 4",37,2,"tt",4,1222,"Native"
"Native 4",26,2,"tt",1,504,"Native"
"Native 4",33,2,"tt",4,573,"Native"
"Native 4",47,2,"tt",2,943,"Native"
"Native 4",45,2,"tt",4,482,"Native"
"Native 4",36,2,"tt",3,1327,"Native"
"Native 4",46,2,"tt",1,326,"Native"
"Native 4",35,2,"tt",2,871,"Native"
"Native 4",48,2,"tt",3,396,"Native"
"Native 4",41,2,"tt",4,542,"Native"
"Native 4",30,2,"tt",1,1565,"Native"
"Native 4",42,2,"tt",1,938,"Native"
"Native 4",44,2,"tt",3,424,"Native"
"Native 4",43,2,"tt",2,1221,"Native"
"Native 4",31,2,"tt",2,937,"Native"
"Native 4",32,2,"tt",3,748,"Native"
"Native 4",25,2,"tt",4,1649,"Native"
"Native 4",34,2,"tt",1,941,"Native"
"Native 4",28,2,"tt",3,685,"Native"
"Native 4",29,2,"tt",4,603,"Native"
"Native 5",46,2,"tt",2,399,"Native"
"Native 5",32,2,"tt",4,875,"Native"
"Native 5",45,2,"tt",1,1001,"Native"
"Native 5",33,2,"tt",1,815,"Native"
"Native 5",26,2,"tt",2,551,"Native"
"Native 5",47,2,"tt",3,394,"Native"
"Native 5",39,2,"tt",3,244,"Native"
"Native 5",44,2,"tt",4,162,"Native"
"Native 5",28,2,"tt",4,341,"Native"
"Native 5",48,2,"tt",4,280,"Native"
"Native 5",29,2,"tt",1,667,"Native"
"Native 5",35,2,"tt",3,987,"Native"
"Native 5",25,2,"tt",1,377,"Native"
"Native 5",31,2,"tt",3,483,"Native"
"Native 5",42,2,"tt",2,0,"Native"
"Native 5",43,2,"tt",3,708,"Native"
"Native 5",37,2,"tt",1,376,"Native"
"Native 5",27,2,"tt",3,822,"Native"
"Native 5",36,2,"tt",4,260,"Native"
"Native 5",40,2,"tt",4,0,"Native"
"Native 5",41,2,"tt",1,164,"Native"
"Native 5",34,2,"tt",2,695,"Native"
"Native 5",38,2,"tt",2,418,"Native"
"Native 5",30,2,"tt",2,186,"Native"
"Native 6",40,2,"tt",1,1210,"Native"
"Native 6",45,2,"tt",2,722,"Native"
"Native 6",35,2,"tt",4,264,"Native"
"Native 6",36,2,"tt",1,363,"Native"
"Native 6",39,2,"tt",4,601,"Native"
"Native 6",25,2,"tt",2,611,"Native"
"Native 6",46,2,"tt",3,717,"Native"
"Native 6",26,2,"tt",3,702,"Native"
"Native 6",34,2,"tt",3,608,"Native"
"Native 6",41,2,"tt",2,176,"Native"
"Native 6",30,2,"tt",3,659,"Native"
"Native 6",33,2,"tt",2,1166,"Native"
"Native 6",42,2,"tt",3,463,"Native"
"Native 6",29,2,"tt",2,884,"Native"
"Native 6",47,2,"tt",4,240,"Native"
"Native 6",27,2,"tt",4,180,"Native"
"Native 6",28,2,"tt",1,1635,"Native"
"Native 6",48,2,"tt",1,803,"Native"
"Native 6",37,2,"tt",2,645,"Native"
"Native 6",38,2,"tt",3,661,"Native"
"Native 6",44,2,"tt",1,567,"Native"
"Native 6",31,2,"tt",4,463,"Native"
"Native 6",32,2,"tt",1,1476,"Native"
"Native 6",43,2,"tt",4,180,"Native"
"Native 7",42,2,"tt",4,345,"Native"
"Native 7",40,2,"tt",2,554,"Native"
"Native 7",27,2,"tt",1,831,"Native"
"Native 7",46,2,"tt",4,209,"Native"
"Native 7",41,2,"tt",3,104,"Native"
"Native 7",48,2,"tt",2,1326,"Native"
"Native 7",26,2,"tt",4,522,"Native"
"Native 7",38,2,"tt",4,156,"Native"
"Native 7",37,2,"tt",3,1133,"Native"
"Native 7",47,2,"tt",1,93,"Native"
"Native 7",35,2,"tt",1,486,"Native"
"Native 7",39,2,"tt",1,743,"Native"
"Native 7",25,2,"tt",3,898,"Native"
"Native 7",34,2,"tt",4,371,"Native"
"Native 7",33,2,"tt",3,581,"Native"
"Native 7",45,2,"tt",3,594,"Native"
"Native 7",36,2,"tt",2,480,"Native"
"Native 7",43,2,"tt",1,153,"Native"
"Native 7",31,2,"tt",1,201,"Native"
"Native 7",28,2,"tt",2,349,"Native"
"Native 7",29,2,"tt",3,857,"Native"
"Native 7",30,2,"tt",4,1240,"Native"
"Native 7",44,2,"tt",2,174,"Native"
"Native 7",32,2,"tt",2,570,"Native"
"Native 8",43,2,"tt",2,805,"Native"
"Native 8",32,2,"tt",3,169,"Native"
"Native 8",28,2,"tt",3,2251,"Native"
"Native 8",38,2,"tt",1,1289,"Native"
"Native 8",47,2,"tt",2,467,"Native"
"Native 8",30,2,"tt",1,1116,"Native"
"Native 8",31,2,"tt",2,1374,"Native"
"Native 8",41,2,"tt",4,1131,"Native"
"Native 8",42,2,"tt",1,676,"Native"
"Native 8",25,2,"tt",4,1207,"Native"
"Native 8",27,2,"tt",2,1139,"Native"
"Native 8",46,2,"tt",1,796,"Native"
"Native 8",48,2,"tt",3,468,"Native"
"Native 8",39,2,"tt",2,506,"Native"
"Native 8",29,2,"tt",4,1675,"Native"
"Native 8",33,2,"tt",4,726,"Native"
"Native 8",45,2,"tt",4,244,"Native"
"Native 8",36,2,"tt",3,1072,"Native"
"Native 8",35,2,"tt",2,477,"Native"
"Native 8",40,2,"tt",3,802,"Native"
"Native 8",34,2,"tt",1,735,"Native"
"Native 8",44,2,"tt",3,522,"Native"
"Native 8",26,2,"tt",1,1288,"Native"
"Native 8",37,2,"tt",4,1310,"Native"
"Native 9",46,2,"tt",2,905,"Native"
"Native 9",30,2,"tt",2,1181,"Native"
"Native 9",42,2,"tt",2,107,"Native"
"Native 9",27,2,"tt",3,1306,"Native"
"Native 9",36,2,"tt",4,311,"Native"
"Native 9",45,2,"tt",1,737,"Native"
"Native 9",35,2,"tt",3,1633,"Native"
"Native 9",39,2,"tt",3,964,"Native"
"Native 9",47,2,"tt",3,1330,"Native"
"Native 9",40,2,"tt",4,328,"Native"
"Native 9",38,2,"tt",2,826,"Native"
"Native 9",43,2,"tt",3,1269,"Native"
"Native 9",29,2,"tt",1,760,"Native"
"Native 9",26,2,"tt",2,448,"Native"
"Native 9",33,2,"tt",1,1892,"Native"
"Native 9",41,2,"tt",1,1527,"Native"
"Native 9",34,2,"tt",2,1238,"Native"
"Native 9",37,2,"tt",1,1153,"Native"
"Native 9",48,2,"tt",4,708,"Native"
"Native 9",31,2,"tt",3,1581,"Native"
"Native 9",32,2,"tt",4,643,"Native"
"Native 9",44,2,"tt",4,389,"Native"
"Native 9",28,2,"tt",4,925,"Native"
"Native 9",25,2,"tt",1,1265,"Native"
"Native 10",43,2,"tt",4,926,"Native"
"Native 10",48,2,"tt",1,2358,"Native"
"Native 10",39,2,"tt",4,1526,"Native"
"Native 10",44,2,"tt",1,487,"Native"
"Native 10",42,2,"tt",3,838,"Native"
"Native 10",33,2,"tt",2,1037,"Native"
"Native 10",35,2,"tt",4,499,"Native"
"Native 10",27,2,"tt",4,1193,"Native"
"Native 10",34,2,"tt",3,820,"Native"
"Native 10",46,2,"tt",3,1520,"Native"
"Native 10",28,2,"tt",1,353,"Native"
"Native 10",47,2,"tt",4,284,"Native"
"Native 10",29,2,"tt",2,811,"Native"
"Native 10",26,2,"tt",3,279,"Native"
"Native 10",31,2,"tt",4,632,"Native"
"Native 10",45,2,"tt",2,956,"Native"
"Native 10",32,2,"tt",1,756,"Native"
"Native 10",40,2,"tt",1,723,"Native"
"Native 10",37,2,"tt",2,387,"Native"
"Native 10",25,2,"tt",2,485,"Native"
"Native 10",36,2,"tt",1,607,"Native"
"Native 10",41,2,"tt",2,550,"Native"
"Native 10",30,2,"tt",3,747,"Native"
"Native 10",38,2,"tt",3,2031,"Native"
"Native 11",27,2,"tt",1,2037,"Native"
"Native 11",44,2,"tt",2,1110,"Native"
"Native 11",38,2,"tt",4,1061,"Native"
"Native 11",46,2,"tt",4,317,"Native"
"Native 11",43,2,"tt",1,796,"Native"
"Native 11",25,2,"tt",3,1333,"Native"
"Native 11",36,2,"tt",2,159,"Native"
"Native 11",47,2,"tt",1,995,"Native"
"Native 11",45,2,"tt",3,442,"Native"
"Native 11",32,2,"tt",2,244,"Native"
"Native 11",28,2,"tt",2,312,"Native"
"Native 11",48,2,"tt",2,268,"Native"
"Native 11",37,2,"tt",3,662,"Native"
"Native 11",31,2,"tt",1,354,"Native"
"Native 11",34,2,"tt",4,194,"Native"
"Native 11",30,2,"tt",4,463,"Native"
"Native 11",39,2,"tt",1,195,"Native"
"Native 11",33,2,"tt",3,392,"Native"
"Native 11",40,2,"tt",2,201,"Native"
"Native 11",26,2,"tt",4,402,"Native"
"Native 11",41,2,"tt",3,781,"Native"
"Native 11",42,2,"tt",4,187,"Native"
"Native 11",29,2,"tt",3,500,"Native"
"Native 11",35,2,"tt",1,337,"Native"
"Native 12",38,2,"tt",3,1765,"Native"
"Native 12",44,2,"tt",1,359,"Native"
"Native 12",30,2,"tt",3,1470,"Native"
"Native 12",35,2,"tt",4,848,"Native"
"Native 12",46,2,"tt",3,431,"Native"
"Native 12",48,2,"tt",1,1051,"Native"
"Native 12",42,2,"tt",3,1739,"Native"
"Native 12",29,2,"tt",2,913,"Native"
"Native 12",40,2,"tt",1,487,"Native"
"Native 12",32,2,"tt",1,1619,"Native"
"Native 12",47,2,"tt",4,745,"Native"
"Native 12",33,2,"tt",2,1236,"Native"
"Native 12",37,2,"tt",2,1514,"Native"
"Native 12",43,2,"tt",4,1332,"Native"
"Native 12",41,2,"tt",2,515,"Native"
"Native 12",31,2,"tt",4,756,"Native"
"Native 12",25,2,"tt",2,1124,"Native"
"Native 12",36,2,"tt",1,597,"Native"
"Native 12",34,2,"tt",3,636,"Native"
"Native 12",39,2,"tt",4,1188,"Native"
"Native 12",28,2,"tt",1,552,"Native"
"Native 12",26,2,"tt",3,530,"Native"
"Native 12",27,2,"tt",4,719,"Native"
"Native 12",45,2,"tt",2,1817,"Native"
"Native 13",47,2,"tt",2,432,"Native"
"Native 13",25,2,"tt",4,422,"Native"
"Native 13",34,2,"tt",1,606,"Native"
"Native 13",45,2,"tt",4,702,"Native"
"Native 13",36,2,"tt",3,242,"Native"
"Native 13",29,2,"tt",4,305,"Native"
"Native 13",48,2,"tt",3,553,"Native"
"Native 13",37,2,"tt",4,219,"Native"
"Native 13",30,2,"tt",1,218,"Native"
"Native 13",33,2,"tt",4,307,"Native"
"Native 13",32,2,"tt",3,413,"Native"
"Native 13",39,2,"tt",2,598,"Native"
"Native 13",27,2,"tt",2,266,"Native"
"Native 13",41,2,"tt",4,423,"Native"
"Native 13",44,2,"tt",3,227,"Native"
"Native 13",35,2,"tt",2,565,"Native"
"Native 13",46,2,"tt",1,572,"Native"
"Native 13",28,2,"tt",3,1205,"Native"
"Native 13",26,2,"tt",1,504,"Native"
"Native 13",42,2,"tt",1,240,"Native"
"Native 13",40,2,"tt",3,257,"Native"
"Native 13",31,2,"tt",2,361,"Native"
"Native 13",43,2,"tt",2,185,"Native"
"Native 13",38,2,"tt",1,320,"Native"
"Native 14",40,2,"tt",4,143,"Native"
"Native 14",47,2,"tt",3,759,"Native"
"Native 14",41,2,"tt",1,468,"Native"
"Native 14",48,2,"tt",4,391,"Native"
"Native 14",31,2,"tt",3,1135,"Native"
"Native 14",44,2,"tt",4,93,"Native"
"Native 14",25,2,"tt",1,304,"Native"
"Native 14",36,2,"tt",4,200,"Native"
"Native 14",27,2,"tt",3,503,"Native"
"Native 14",28,2,"tt",4,485,"Native"
"Native 14",32,2,"tt",4,768,"Native"
"Native 14",38,2,"tt",2,303,"Native"
"Native 14",42,2,"tt",2,138,"Native"
"Native 14",37,2,"tt",1,642,"Native"
"Native 14",29,2,"tt",1,333,"Native"
"Native 14",39,2,"tt",3,1168,"Native"
"Native 14",35,2,"tt",3,354,"Native"
"Native 14",45,2,"tt",1,1295,"Native"
"Native 14",34,2,"tt",2,731,"Native"
"Native 14",46,2,"tt",2,0,"Native"
"Native 14",26,2,"tt",2,0,"Native"
"Native 14",33,2,"tt",1,738,"Native"
"Native 14",43,2,"tt",3,1326,"Native"
"Native 14",30,2,"tt",2,643,"Native"
"Native 15",26,2,"tt",3,1056,"Native"
"Native 15",40,2,"tt",1,1300,"Native"
"Native 15",36,2,"tt",1,1284,"Native"
"Native 15",39,2,"tt",4,301,"Native"
"Native 15",47,2,"tt",4,285,"Native"
"Native 15",46,2,"tt",3,1067,"Native"
"Native 15",38,2,"tt",3,545,"Native"
"Native 15",28,2,"tt",1,973,"Native"
"Native 15",44,2,"tt",1,196,"Native"
"Native 15",27,2,"tt",4,474,"Native"
"Native 15",42,2,"tt",3,986,"Native"
"Native 15",33,2,"tt",2,371,"Native"
"Native 15",41,2,"tt",2,476,"Native"
"Native 15",43,2,"tt",4,447,"Native"
"Native 15",37,2,"tt",2,0,"Native"
"Native 15",34,2,"tt",3,1299,"Native"
"Native 15",25,2,"tt",2,331,"Native"
"Native 15",29,2,"tt",2,645,"Native"
"Native 15",48,2,"tt",1,0,"Native"
"Native 15",45,2,"tt",2,265,"Native"
"Native 15",31,2,"tt",4,254,"Native"
"Native 15",35,2,"tt",4,235,"Native"
"Native 15",30,2,"tt",3,559,"Native"
"Native 15",32,2,"tt",1,839,"Native"
"Native 16",43,2,"tt",1,267,"Native"
"Native 16",39,2,"tt",1,816,"Native"
"Native 16",42,2,"tt",4,312,"Native"
"Native 16",28,2,"tt",2,453,"Native"
"Native 16",48,2,"tt",2,0,"Native"
"Native 16",44,2,"tt",2,299,"Native"
"Native 16",33,2,"tt",3,390,"Native"
"Native 16",40,2,"tt",2,245,"Native"
"Native 16",47,2,"tt",1,178,"Native"
"Native 16",36,2,"tt",2,103,"Native"
"Native 16",29,2,"tt",3,358,"Native"
"Native 16",45,2,"tt",3,159,"Native"
"Native 16",27,2,"tt",1,0,"Native"
"Native 16",35,2,"tt",1,0,"Native"
"Native 16",32,2,"tt",2,0,"Native"
"Native 16",31,2,"tt",1,256,"Native"
"Native 16",46,2,"tt",4,196,"Native"
"Native 16",25,2,"tt",3,534,"Native"
"Native 16",26,2,"tt",4,349,"Native"
"Native 16",37,2,"tt",3,555,"Native"
"Native 16",34,2,"tt",4,220,"Native"
"Native 16",30,2,"tt",4,229,"Native"
"Native 16",38,2,"tt",4,300,"Native"
"Native 16",41,2,"tt",3,256,"Native"
"Native 17",32,2,"tt",3,1456,"Native"
"Native 17",46,2,"tt",1,1001,"Native"
"Native 17",40,2,"tt",3,1054,"Native"
"Native 17",26,2,"tt",1,2064,"Native"
"Native 17",37,2,"tt",4,1348,"Native"
"Native 17",25,2,"tt",4,1295,"Native"
"Native 17",43,2,"tt",2,828,"Native"
"Native 17",30,2,"tt",1,2296,"Native"
"Native 17",34,2,"tt",1,1286,"Native"
"Native 17",27,2,"tt",2,892,"Native"
"Native 17",45,2,"tt",4,588,"Native"
"Native 17",44,2,"tt",3,1015,"Native"
"Native 17",35,2,"tt",2,868,"Native"
"Native 17",33,2,"tt",4,924,"Native"
"Native 17",47,2,"tt",2,369,"Native"
"Native 17",48,2,"tt",3,964,"Native"
"Native 17",36,2,"tt",3,555,"Native"
"Native 17",29,2,"tt",4,624,"Native"
"Native 17",38,2,"tt",1,835,"Native"
"Native 17",31,2,"tt",2,635,"Native"
"Native 17",41,2,"tt",4,630,"Native"
"Native 17",28,2,"tt",3,648,"Native"
"Native 17",42,2,"tt",1,583,"Native"
"Native 17",39,2,"tt",2,554,"Native"
"Native 18",43,2,"tt",3,837,"Native"
"Native 18",33,2,"tt",1,2193,"Native"
"Native 18",42,2,"tt",2,1234,"Native"
"Native 18",47,2,"tt",3,838,"Native"
"Native 18",27,2,"tt",3,606,"Native"
"Native 18",39,2,"tt",3,269,"Native"
"Native 18",35,2,"tt",3,916,"Native"
"Native 18",48,2,"tt",4,1381,"Native"
"Native 18",36,2,"tt",4,1068,"Native"
"Native 18",41,2,"tt",1,692,"Native"
"Native 18",26,2,"tt",2,1398,"Native"
"Native 18",44,2,"tt",4,182,"Native"
"Native 18",32,2,"tt",4,233,"Native"
"Native 18",40,2,"tt",4,1274,"Native"
"Native 18",34,2,"tt",2,453,"Native"
"Native 18",46,2,"tt",2,514,"Native"
"Native 18",45,2,"tt",1,1740,"Native"
"Native 18",37,2,"tt",1,474,"Native"
"Native 18",25,2,"tt",1,1135,"Native"
"Native 18",31,2,"tt",3,169,"Native"
"Native 18",29,2,"tt",1,384,"Native"
"Native 18",30,2,"tt",2,239,"Native"
"Native 18",38,2,"tt",2,795,"Native"
"Native 18",28,2,"tt",4,424,"Native"
"Native 19",30,2,"tt",3,1451,"Native"
"Native 19",29,2,"tt",2,937,"Native"
"Native 19",37,2,"tt",2,406,"Native"
"Native 19",25,2,"tt",2,218,"Native"
"Native 19",34,2,"tt",3,1088,"Native"
"Native 19",43,2,"tt",4,898,"Native"
"Native 19",36,2,"tt",1,1739,"Native"
"Native 19",28,2,"tt",1,543,"Native"
"Native 19",27,2,"tt",4,608,"Native"
"Native 19",42,2,"tt",3,1177,"Native"
"Native 19",44,2,"tt",1,0,"Native"
"Native 19",47,2,"tt",4,533,"Native"
"Native 19",31,2,"tt",4,842,"Native"
"Native 19",45,2,"tt",2,797,"Native"
"Native 19",46,2,"tt",3,981,"Native"
"Native 19",40,2,"tt",1,390,"Native"
"Native 19",39,2,"tt",4,151,"Native"
"Native 19",32,2,"tt",1,1658,"Native"
"Native 19",35,2,"tt",4,447,"Native"
"Native 19",26,2,"tt",3,480,"Native"
"Native 19",48,2,"tt",1,453,"Native"
"Native 19",41,2,"tt",2,322,"Native"
"Native 19",33,2,"tt",2,775,"Native"
"Native 19",38,2,"tt",3,1084,"Native"
"Native 20",47,2,"tt",1,447,"Native"
"Native 20",33,2,"tt",3,6160,"Native"
"Native 20",31,2,"tt",1,2128,"Native"
"Native 20",46,2,"tt",4,431,"Native"
"Native 20",45,2,"tt",3,542,"Native"
"Native 20",28,2,"tt",2,624,"Native"
"Native 20",26,2,"tt",4,711,"Native"
"Native 20",27,2,"tt",1,913,"Native"
"Native 20",34,2,"tt",4,2079,"Native"
"Native 20",30,2,"tt",4,290,"Native"
"Native 20",44,2,"tt",2,412,"Native"
"Native 20",37,2,"tt",3,561,"Native"
"Native 20",32,2,"tt",2,1243,"Native"
"Native 20",39,2,"tt",1,1170,"Native"
"Native 20",35,2,"tt",1,882,"Native"
"Native 20",41,2,"tt",3,114,"Native"
"Native 20",29,2,"tt",3,629,"Native"
"Native 20",38,2,"tt",4,962,"Native"
"Native 20",40,2,"tt",2,1519,"Native"
"Native 20",36,2,"tt",2,496,"Native"
"Native 20",25,2,"tt",3,779,"Native"
"Native 20",48,2,"tt",2,379,"Native"
"Native 20",42,2,"tt",4,489,"Native"
"Native 20",43,2,"tt",1,544,"Native"
"Native 21",36,2,"tt",3,677,"Native"
"Native 21",46,2,"tt",1,516,"Native"
"Native 21",45,2,"tt",4,230,"Native"
"Native 21",42,2,"tt",1,594,"Native"
"Native 21",41,2,"tt",4,260,"Native"
"Native 21",38,2,"tt",1,316,"Native"
"Native 21",28,2,"tt",3,191,"Native"
"Native 21",40,2,"tt",3,577,"Native"
"Native 21",47,2,"tt",2,202,"Native"
"Native 21",30,2,"tt",1,544,"Native"
"Native 21",43,2,"tt",2,743,"Native"
"Native 21",32,2,"tt",3,551,"Native"
